id,nameEng,nameKor,price,aroma,taste,finish,type,capacity,alcohol,country,description
128,Aberlour 12yo,아벨라워 12년,129000,"['과일향', '피트향']","['나무향', '와인향', '유황']","['잔류액향', '과일향', '유황']",싱글몰트,700ml,40%,스코틀랜드,"아벨라워는 미식가의 나라, 프랑스에서 가장 사랑받는 싱 글몰트 위스키 브랜드이자 국내 위스키 애호가들 사이에 서도 인지도가 높은 브랜드입니다. 아벨라워 증류소를 설 립한   농부의 아들, 제임스 플레밍의 품질 좋은 곡물 을 거래했던 이력은 뛰어난 품질의 부티크 몰트 위스키를 생산하는 아벨라워 브랜드의 원천이 되었는데요. 특히 싱 글몰트 위스키 증류소가 몰려 있는    을 관통하는 스페이강의 빠른 물살에 휩쓸려 목숨을 잃은 한 소년의 사고를 계기로 페니 브릿지를 건설하여 또다른 사 고를 예방했다는 제임스 플레밍의 일화가 있습니다. '말보 다 행동으로 실천하라'는 아벨라워 증류소의 신념에 진정 성을 더해 최고의 부티크 싱글몰트 위스키 이미지를 이어 갈 수 있었습니다. 아벨라워 12년은 40%의 도수에도 불구하고 매우 뛰어 난 바디감, 과일과 스파이스의 균형잡힌 풍미, 그리고 캐 릭터의 깊이가 더해져 풍부하고 스파이시하며 유혹적이 고 달콤한 매력을 뽐내고 있습니다. 각종 주류 대회에서 화려한 수상 경력을 소유하고 있는  의 클래 식 싱글몰트 위스키 '아벨라워 12년'입니다."
129,Aberlour Casg Annamh,아벨라워 캐스크 안남,125000,"['잔류액향', '과일향', '곡물향', '나무향']","['과일향', '와인향', '꽃향기', '나무향']","['잔류액향', '나무향']",싱글몰트,700ml,48%,스코틀랜드,"Aberlour Casg Annamh '아벨라워 캐스크 안남'에서 '캐스크 안남(Casg Annamh)'은 게일어로 '희귀한 캐스크(rare cask)'를 의 미합니다. '아벨라워 캐스크 안남은 이름처럼 희귀한, 세 심하게 선별한 소수의 캐스크들만을 이용해 만들어졌습 니다. 이 때 쓰인 스페인 올로로쏘 셰리 캐스크/버트들은 아벨라워 증류소 특유의 달콤하고 풍부한 노트 풍미와 완 벽하게 어울리며 상당한 셰리 영향을 끼칩니다. 우선 '아벨라워 캐스크 안남'에서는 진하고 달콤한 오렌지 과일 향기가 느껴집니다. 이는 체리, 건포도 노트로 이어 지며 약간의 생강 향도 맡아볼 수 있습니다. 입안에서도 역시 달콤하고 프루티한 풍미가 이어집니다. 사과, 시나 몬 크램블 그리고 잘 익은 복숭아에서 나는 농밀한 맛에 감초, 정향의 스파이시함이 합쳐져 좋은 조화를 이룹니 다. 마지막으로는 길고 풍성하게, 드라이한 향신료 피니 시를 남깁니다. '아벨라워 캐스크 안남은 셰리 캐스크 숙성 위스키에 대 한 이상적인 소개 그자체인 싱글몰트랍니다."
130,Aberfeldy 12yo,애버펠디 12년,95000,"['잔류액향', '나무향', '꽃향기']","['잔류액향', '과일향', '와인향', '나무향']","['과일향', '곡물향']",싱글몰트,700ml,40%,스코틀랜드,"꽃과 꿀 향기가 가득한 위스키 의 클래식 싱글몰트 스카치위스키 '애버펠디 12 년'을 소개합니다. 영롱한 금빛을 띤 '애버펠디 12년'은 처 음부터 끝까지 꿀의 풍미가 가득해 부드럽고 접근성이 좋 은 위스키입니다. '애버펠디 12년'을 잔에 따라볼까요? 코 끝에 닿는 풍성하고 달콤한 꽃향기가 포문을 엽니다. 이 는 바닐라, 버터 스카치, 코코아 파우더의 풍미로 이어집 니다. 입안을 맴도는 바닐라, 오렌지 노트는 오랜 여운이 남는 피니시를 선사합니다. '애버펠디 12년'은 특출난 수상 경력을 갖고 있습니다. 2005년 영국 와인&스피릿 컴피티션에서 골드, 2012년 벨기에 몽드 셀렉션에서 골드, 2021년 샌프란시스코 월 드 스피릿 컴피티션에서 더블 골드 메달을 받는 등 벌써 약 24개의 골드 메달을 거머쥐었고, 앞으로도 승승장구 할 예정이랍니다."
131,Aberfeldy 16 yo,애버펠디 16년,137000,"['과일향', '와인향', '유황', '곡물향']","['잔류액향', '과일향', '와인향', '피트향']","['과일향', '나무향']",싱글몰트,700ml,40%,스코틀랜드,"꿀을 머금은 듯 행복한 향기 2015년 The Last Great Malts series로 출시한 애버 펠디 증류소의 최신작, '애버디 16년'을 소개합니다. 애 버펠디 16년은 버번 캐스크에서 숙성 후 프리미엄 올로로 쏘 셰리 캐스크에서 피니시 했습니다. 이러한 두 캐스크 의 조합은 달콤함과 스파이시 사이에서 완벽한 균형을 만 들었답니다. 애버펠디 16년에서는 '애버펠디' 하면 떠오 르는 꿀 향기를 역시나 제일 먼저 느낄 수 있습니다. 그리 고 시트러스(감귤류)와 스파이시한 정향, 과일 케이크 노 트가 코끝을 맴돕니다. 입안에서는 오렌지처럼 상큼하고 다크 초콜릿처럼 달콤한 풍미를 느낄 수 있습니다. 마지 막으로 오크, 바닐라, 열대 과일의 완벽한 여운을 남깁니 다."
132,Edradour 10yo,에드라두어 10년,125000,"['과일향', '와인향', '곡물향']","['잔류액향', '과일향', '곡물향']","['잔류액향', '나무향', '유황']",싱글몰트,700ml,40%,스코틀랜드,"운좋은 소수만이 누릴 수 있는 위스키 희귀한 즐거움, '에드라두어 10년'을 소개합니다. 에드라 두어(Edradour) 증류소는 스코틀랜드에서 가장 작은 싱 글몰트 위스키 증류소입니다. 아마 전 세계에서도 정식 허가를 받은 증류소로는 가장 작을 것입니다. 이곳에서 John Reid와 그의 두 조수 David Ramsbottom, James Kennedy 단 세 명이 수작업으로 위스키를 생산 하고 있습니다. 따라서 대부분의 증류소가 일주일에 생산 하는 위스키 양을 에드라두어는 한 해 동안 생산합니다. 그 명성에 비하면 정말 적은 양이죠. 에드라두어 증류소 의 코어 라인업 '에드라두어 10년'은 올로로소 셰리 캐스 크와 버번 캐스크 조합에서 10년간 숙성한   싱글 몰트 위스키입니다. 두 캐스크의 영향으로 말린 과일, 올 로로소 그리고 견과류 향이 폭발적으로 납니다. 또한 이 위스키는 입안 가득하게 두터운 풀바디 질감과, 달콤한 꿀의 풍미를 안겨줍니다. 소형 구리 증류기에서 생성된 향신료 느낌 가득한 크리스마스 케이크 풍미는 이내 오크 향으로 이어져 따뜻한 여운의 피니시를 길게 남깁니다. '에드라두어 10년'은 특히, 새로운 셰리 위스키를 찾고 있 는 여러분에게 추천해 드리고 싶은 위스키입니다. 작은 증류소에서 탄생한 거대하게 인상적인 위스키, '에드라두 어 10년'을 드디어 데일리샷에서 만나보실 수 있습니다."
133,Oban 14yo,오반 14년,140000,['과일향'],"['잔류액향', '과일향', '곡물향']",['피트향'],싱글몰트,700ml,43%,스코틀랜드,오반증류소의 걸작 바다 바람과 함께 위스키를 제조해 늦가을과일과 바다내음향이 균형을 이룬 풍부한 맛을 자랑합니다. 소장가치 높은 위스키 서부 하일랜드 작은 어촌 도시 오반의 소규모 증류소에서 생산되어 제한적인 원액 공급으로 가치가 높습니다. 증류기가 선사하는 풍미 오반증류소의 특징인 작은 램프 유리 모양의 증류기가 응축된 풍미를 선사합니다.
134,Auchentoshan 12yo,오켄토션 12년,110000,['나무향'],['과일향'],"['나무향', '피트향', '곡물향']",싱글몰트,700ml,40%,스코틀랜드,"스코틀랜드 싱글몰트 위스키는 법적으로 최소 2번을 증 류해야 위스키로서의 자격을 지니게 됩니다. 하지만 그 이상에 대해선 아무런 제한이 없죠. 싱글몰트 위스키는 각 증류소가 자랑하는 풍미가 담기기 마련이지만, 동시에 호불호가 극명하게 갈리기도 합니다. 하지만 오켄토션 12 년은 3번 증류하여 가장 부드러운 풍미를 자랑하며 호불 호 없는 매력을 자랑하고 있습니다. 오켄토션 12년은 3중 증류를 통해 풍부하면서도 섬세한 풍미가 특징입니다. 싱글몰트 특유의 개성있는 오크향을 지님과 동시에 부드러운 목넘김이 매력적인 위스키죠. 또 한 쉐리캐스크 숙성으로 지금까지 없었던 부드러움과 풍 부한 향을 놓치지 않고 담았습니다. 평소 위스키를 즐기시는 분들, 특히 위스키 입문자에게도 자신있게 추천하여 함께 편하게 즐길 수 있는 싱글몰트"
135,"위스키, 오켄토션 12년입니다.",Auchentoshan Sauvignon Blanc,109900,[],"['잔류액향', '나무향']","['과일향', '유황', '피트향']",싱글몰트,700ml,47%,스코틀랜드,"차갑게 마셨을 때 가장 맛있는 위스키, 오켄토션 소 비뇽 블랑 일반적인 위스키는 상온에 보관했을 때 그 향과 풍미를 가장 잘 느낄 수 있죠. 하지만 오켄토션 소비뇽 블랑은 다 릅니다. 버번 캐스크에서 숙성 후 화이트 와인을 숙성시 켰던 소비뇽 블랑 캐스크에서 추가 숙성 기간을 거침으로 써 나온 오켄토션의 스페셜 에디션, 오켄토션 소비뇽 블 랑입니다. 오켄토션 소비뇽 블랑은 화이트 와인처럼 냉장 보관하여 차갑게 마실 때 최고의 풍미와 밸런스를 느낄 수 있습니다. 소비뇽 블랑 와인 한 잔을 마시는 듯한 풍미 와 함께 신선한 여러 과일향을 가득 즐길 수 있죠. 보다 특 별한 싱글몰트 위스키를 찾는 분들 뿐만 아니라 위스키를 처음 즐겨보려는 분들에게도 감히 확실하게 추천할 수 있 는 오켄토션의 걸작, 오켄토션 소비뇽 블랑을 데일리샷에 서 만나보세요."
136,Auchentoshan Three Wood,오켄토션 쓰리 우드,135500,"['잔류액향', '과일향']","['과일향', '와인향', '꽃향기']","['과일향', '나무향']",싱글몰트,700ml,43%,스코틀랜드,"3가지 오크통, 그 이상의 풍미 오켄토션 증류소의 최상위 라인, 오켄토션 쓰리 우드입니 다. 쓰리 우드(Three Wood)라는 이름에 걸맞게 세가지 다른 캐스크에서 숙성한   싱글몰트입니다. 첫번째, 버번 오크통에서 원액이 최초로 숙성됐습니다. 두번째로 스페인산 올로로소 셰리캐스크에서 숙성됐으 며, 마지막으로 페드로 히메네즈 캐스크에서 추가 숙성됐 습니다. 페드로 히메네즈 캐스크는 위스키 원액에 마치 시럽처럼 점도가 높은 달콤함을 더해줍니다. 오켄토션 쓰 리우드는 그 오크통들의 바닐라, 셰리, 견과류 등 모든 풍 미가 잘 어우러져 호평을 받고 있습니다. 3가지 오크통의 풍부한 맛과 오켄토션의 시그니처 캐릭 터인 부드러움과 섬세함을 느껴보세요. 오켄토션 쓰리 우 드는 데일리샷에서 한정수량 특가로 만나보실 수 있습니 다."
137,Auchentoshan American Oak,오켄토션 아메리칸 오크,76900,"['과일향', '꽃향기', '나무향']",['나무향'],['나무향'],싱글몰트,700ml,40%,스코틀랜드,"바닐라, 코코넛이 달콤한 위스키, 오켄토션 아메리 칸 오크 여기를 주목해주세요. 오켄토션에 엄청난 녀석이 왔습니 다. 다양한 방법으로 즐길 수 있는 오켄토션의 새로운 라 인업, '오켄토션 아메리칸 오크'를 소개합니다. 특히 아메 리칸 오크는 유명한 바텐더들도 극찬할 정도라고 하는데 요. 과연 어떤 특징이 있을까요? '오켄토션 아메리칸 오크'는 세 번 증류로 더욱 부드러운 원액을 버번 캐스크에서 숙성하여 바닐라와 코코넛의 풍 미가 조화로운 위스키입니다. 크림 같은 질감뿐만 아니라 상큼한 과일 향과 복숭아 맛을 느낄 수 있으며, 피니시에 살짝 스파이시한 향이 입안을 감싸 맛의 균형을 이룹니 다. 원액 그대로 니트로 즐겨도 좋지만 달콤한 풍미가 칵 테일로 만들었을 때 역시 매력적입니다."
