id,nameEng,nameKor,price,aroma,taste,finish,type,capacity,alcohol,country,description
0,Cadenhead's Seven Stars 30yo,카덴헤드 세븐 스타즈 30년,365000,"['과일향', '와인향', '꽃향기']","['과일향', '와인향', '곡물향']","['과일향', '와인향', '나무향']",블렌디드,700ml,48.2%,스코틀랜드,
1,Johnnie Walker Blue Label Limited Edition - Nomad Cities Seoul,조니워커 블루 노마드 시티 서울 에디션,399000,"['과일향', '와인향', '피트향']","['잔류액향', '과일향', '와인향', '피트향']","['잔류액향', '유황', '피트향']",블렌디드,750ml,40%,스코틀랜드,
2,Hibiki 30yo Kacho Fugetsu,히비키 30년 화조풍월,11000000,"['과일향', '유황']","['과일향', '나무향']",['잔류액향'],블렌디드,700ml,43%,일본,
3,The Busker Triple Cask Triple Smooth,더 버스커 트리플 캐스크 트리플 스무스,40000,"['과일향', '나무향']","['꽃향기', '곡물향', '와인향', '피트향']","['잔류액향', '과일향']",블렌디드,700ml,40%,아일랜드,
4,Mars Iwai Tradition Sherry Cask Finish 2023,마르스 이와이 트레디션 셰리 캐스크 피니시 2023,85900,"['잔류액향', '과일향']",[],['와인향'],블렌디드,700ml,40%,일본,
5,Loyal Salute 21 yo the Polo Estancia Edition,로얄살루트 21년 에스텐시아 폴로 에디션,339000,"['꽃향기', '과일향', '와인향', '피트향']","['과일향', '꽃향기']","['잔류액향', '과일향']",블렌디드,700ml,40%,스코틀랜드,"‘폴로’라는 스포츠에 대해서 아시나요? 우리에게 익숙한 옷 브랜드의 로고처럼 말을 타고 하키를 하는 경기입니 다. 그 폴로의 고향이라고 불리는 아르헨티나의 에스텐시 아(아르헨티나의 농장)에서 영감을 얻은 한정판 '로얄살 루트 21년 에스텐시아 폴로 에디션'입니다. 따뜻한 기후와 멋진 햇빛, 여유로운 분위기가 아름다운 에스텐시아는 아르헨티나만의 분위기와 폴로 경기를 즐 기기에 완벽한 공간입니다. 병과 패키지 디자인에도 아르 헨티나와 에스텐시아의 분위기를 그대로 담았습니다. 세 계적인 디자이너 '찰리 데이비스'가 디자인한 패키지에는 따뜻한 태양 아래 폴로 경기를 하는 사람이 있는데요. 전 잉글랜드 폴로 팀 주장인 '말콤 보윅'의 서명이 기입되어 있는 등 폴로를 상징하는 요소들이 곳곳에 있습니다."
6,Royal Salute 21yo,로얄살루트 21년,269000,"['과일향', '꽃향기', '나무향']","['과일향', '와인향', '피트향']",['잔류액향'],블렌디드,700ml,40%,스코틀랜드,"엘리자베스 2세 여왕의 대관식에 헌정되면서 '여왕의 위 스키'라는 별칭으로 불리는 최고의 블렌디드 위스키이자, 박정희 전 대통령이 침대 머리맡에 두고 밤에 잠이 오지 않을 때마다 마셨다는 독보적인 럭셔리 스카치 위스키는 바로 '로얄살루트 21년'입니다. 박정희 전 대통령의 측근 들조차 그 맛에 감탄하여 침을 꼴깍 삼킬 정도였다는 에 피소드가 전해질 정도로 '로얄살루트'의 명성은 자자합니 다. 로얄살루트는 전 세계 대표적인 고품격 스카치 위스 키로서 최소 21년 이상 숙성된 원액만을 이용해서 위스키 를 생산합니다. 그래서 다른 제품들은 보통 21년 숙성된 제품을 가장 높은 연산으로 내세우는 반면, 로얄살루트는 21년 숙성 제품을 엔트리 레벨로 선보이고 있죠. 로얄살 루트는 최소 21년 이상의 숙성된 원액의 블렌딩으로 완성 되는 위스키로, 한계를 뛰어넘는 오늘날의 리더(Today's King)들을 표상하고 있습니다."
7,Royal Salute 30yo 500ml,로얄살루트 30년 500ml,1190000,"['잔류액향', '과일향', '꽃향기']","['과일향', '유황', '피트향', '나무향']","['잔류액향', '나무향', '피트향']",블렌디드,500ml,40%,스코틀랜드,"'로얄살루트 30년'은 영국의 Key Cremony에서 영감을 받아 디자인되었습니다. Key Ceremony는 매년 영국 왕 실에서 진행하는 행사로, 영국 왕실의 군주에게 존경과 축하의 의미를 담아 에든버러 시의 열쇠를 전달하는 상징 적인 의식입니다. '로얄살루트 30년'은 그 영감의 출처에 걸맞도록 희귀한 30년산 이상의 위스키 원액만을 블렌딩 하여 모던한 달콤함과 고급스러운 훈연의 풍미를 표현합니다. 잘 익은 배 향기와 달콤한 꿀, 겨울에 어울리는 계피, 부드럽게 이어지는 길고 따뜻한 스모크 터치가 인상적입니다."
8,Dewar's 12 yo,듀어스 12년,69000,"['과일향', '곡물향', '나무향']","['잔류액향', '와인향', '피트향']","['과일향', '피트향']",블렌디드,700ml,40%,스코틀랜드,"'듀어스 12년'은 듀어스의 대표적인 제품입니다. 최소 12 년 이상의 최상급 원액을 두 번 숙성하는 Double Aged 공법으로 부드러움이 극대화된 위스키입니다. 듀어스 12년은 프루티한 향에 이어 은은하게 올라오는 바 닐라 향이 인상적입니다. 한 입 머금으면 진한 꿀에서 느 껴지는 농도 짙은 단맛과 오크 풍미가 조화롭게 어우러집 니다. 달콤함 속에 은은하게 올라오는 시트러스, 부드러 운 목넘김 속에서 느껴지는 스파이시함과 가벼운 스모키 까지. 향과 맛에 있어 지루함이 없습니다. 듀어스 12년의 매력적인 풍미는 니트(neat)로 온전히 느 껴도 좋고, 탄산수와 함께 하이볼로 즐겨도 좋습니다. 위 스키 입문자에게도, 데일리 위스키를 찾는 위스키 애호가 에게도 좋은 선택지가 될 수 있습니다."
9,Johnnie Walker Black 750ml,조니워커 블랙 750ml,61000,"['과일향', '피트향', '나무향']","['과일향', '나무향']",['피트향'],블렌디드,750ml,40%,스코틀랜드,"조니워커, 다들 한 번씩은 들어본 이름일거라 생각합니 다. 조니워커 중에서도 유명한 제품 중 하나인 '조니워커 블랙라벨'은, 위스키를 입문하시는 분들에게 추천드리는 술입니다. 부담스럽지 않은 가격에, 조니워커 특유의 강 한 향과 밸런스가 잘 잡힌 맛을 즐길 수 있는 위스키이기 때문이죠. 튀지 않고 균형감있는 맛 때문에 데일리로 즐 기시는 분도 많은 조니워커 블랙, 한 번 시도해보시는건 어떨까요?"
10,Ballantine's 12 yo 1L,발렌타인 12년 1L,68000,"['잔류액향', '나무향']","['잔류액향', '나무향', '꽃향기']","['잔류액향', '과일향']",블렌디드,700ml,40%,스코틀랜드,"한국인이 가장 사랑하는 스카치 위스키, 발렌타인은 1827년 스코틀랜드에서 시작되었습니다. 최상의 원료와 발렌타인 마스터 블렌더의 블렌딩, 그리고 수제작한 부르 봉통에서의 에이징이 약 200년 동안 세계적으로 인정 받는 발렌타인 맛의 비밀입니다. '발렌타인 12년'은 부담 없이 마시기 좋은 최고의 스카치 위스키입니다. 스카치 위스키 입문을 위해서라면 가격과 품질 면에서 모두 최고 의 위스키라고 자부할 수 있을 것입니다. 보통의 위스키 용량인 700ml보다 훨씬 넉넉한 1L로 '발렌타인 12년'을 만나보세요."
11,Continental Whisky Yellow Label,콘티넨탈 위스키 옐로우 라벨,39500,"['나무향', '와인향']",['나무향'],[],블렌디드,700ml,37%,일본,"'콘티넨탈 위스키 옐로우 라벨'은 은은한 오크 향과 바닐향을 통한 부드럽고 온화한 맛이 특징이며, 이를 다양 한 요리와 함께 부담 없이 즐기실 수 있습니다. 이러한 '콘티넨탈 위스키 옐로우 라벨'은 식전과 식 중, 그리고 식후 모두 언제든 즐기기에 좋습니다."
12,The Smooth by Imperial 17,더 스무스 바이 임페리얼 17년,56000,"['나무향', '과일향']","['과일향', '곡물향', '나무향']","['나무향', '과일향', '꽃향기']",블렌디드 몰트,450ml,35%,스코틀랜드,'더 스무스 바이 임페리얼 17년은 17년 숙성 몰트 원액만 을 사용해 만든 블렌디드 몰트 위스키입니다. 한국인이 좋아하는 잘 익은 배와 실크같은 바닐라 풍미가 17년이라 는 인내의 깊이로 어우러져 있습니다. 또한 '더 스무스 바 이 임페리얼 17년의 키트는 스페이사이드 지역의 글렌 키스 증류소의 원액으로 알려져있습니다.
13,Scotch Blue,스카치블루,36500,['나무향'],['과일향'],['피트향'],블렌디드,450ml,35~40%,대한민국,'스카치 블루'는 엄선한 스코틀랜드 위스키 원액을 한국인 의 입맛에 맞게 블렌딩해 보다 부드러운 맛과 풍부한 향 을 살린 프리미엄 위스키입니다. '스카치 블루'는 부드러 움의 새로운 가치를 제공하고자 정통 스코틀랜드의 위스 키 제조 노하우를 바탕으로 만들어진 제품입니다. Mr. Boston Scotch
14,Johnnie Walker Blue,미스터 보스턴 스카치,23000,"['잔류액향', '피트향']","['잔류액향', '과일향', '나무향']","['과일향', '피트향']",블렌디드,1000ml,40%,미국,"스모키한 스카치 위스키의 풍미를 담다 전 세계에서 가장 유명한 위스키 생산지는 스코틀랜드라 고 해도 과언이 아니죠. '미스턴 보스턴 스카치는 스카치 위스키 특유의 달콤한 꿀의 맛과 부드럽지만 약간은 스모키한 향이 특징입니다. 이런 미스턴 보스턴 스카치를 더욱 달콤하게 즐기기 위해서는 잔에 따른 후 물 몇 방울을 넣으면 되는데요. 이렇게 간단한 방법으로 닫혀있던 향이 열리면서 단맛이 더욱 극대화되니 따라해보셔도 좋습니다. 또한 미스턴 보스턴 스카치는 호불호 없는 맛을 자랑하기 때문에 칵테일, 하이볼, 온더락 등 마음껏 즐겨도 부담 없 습니다. 홈파티할 때, 칵테일 만들 때 마실 스카치 위스키를 찾으신다면 미스턴 보스턴 스카치가 어떨까요? 1000ml에 23,000원, 그러니까 한 잔에(30ml) 약 700 원 정도로 극강의 가성비를 자랑하니까요."
15,J&B Jet 500ml,제이앤비 제트 500ml,45000,"['잔류액향', '나무향', '꽃향기']","['과일향', '곡물향']","['나무향', '피트향']",블렌디드,500ml,40%,스코틀랜드,"검은 보석을 뜻하는 '제이 앤 비 제트'는 말 그대로 검은 보석(Jet Stone)을 상징하는 신비롭고 카리스마 넘치는 검은 병에 담겨 있습니다. '제이 앤 비 제트'는 12년 이상 숙성된 스페이사이드산 몰 트위스키를 블렌딩한 뒤에 6개월 이상 재숙성시키는 독 특한 제조 공정을 거치는데, 이 안정화하는 과정 동안 맛 이 균형 잡혀지고 향이 더욱 부드러워집니다. 뚜껑을 여니 가벼운 꿀 향과 바닐라, 코코넛 향이 은은하 게 납니다. 맛을 보면 맥아의 달콤한 맛과 사과, 배 등의 신선한 과일 맛이 나며, 미세한 피트 향과 약간의 오크 향 도 느낄 수 있습니다. 마지막으로 부드럽고 라이트한 피 니시로 부담없이 즐길 수 있습니다. 과거 엄청난 히트를 쳤다가 단종되어서 쉽게 찾아볼 수 없는 추억의 위스키를 만나보세요."
16,The class,더 클래스,25000,['나무향'],"['나무향', '곡물향']","['과일향', '나무향']",블렌디드,450ml,40%,스코틀랜드,맥캘란을 생산하는 애드링턴 그룹과 하이트진로의 합작 으로 탄생한 더 클래스(THE CLASS)를 소개해드립니 다. 이 위스키는 올드한 위스키 시장에 젊은 트랜드를 불 어 넣기 위해 30대를 타겟으로 한 블랜디드 위스키입니 다. 참고로 애드링턴 그룹은 140년 전통 스코틀랜드 위스 키 명가로 젊은 층이 선호하는 깔끔하고 부드러운 맛을 구현하기 위해 에드링턴 그룹의 마스터 블렌더 '고든 모션 (Gordon Motion)'과 손을 잡았습니다.
17,Chivas Regal 18yo 750ml,시바스 리갈 18년 750ml,175000,"['과일향', '와인향', '나무향']","['와인향', '피트향', '꽃향기']",['잔류액향'],블렌디드,750ml,40%,스코틀랜드,"'시바스 리갈 18년' 모든 병의 앞 라벨에는 GOLD SIGNATURE라는 표시가 되어있습니다. 독특하고 풍부 한 20여가지의 진귀한 싱글 몰트 스카치 위스키를 조화 롭게 블렌딩 한 배합을 의미하죠. 또한, 시바스 리갈 18년 GOLD SIGNATURE에 들어가는 모든 몰트 및 그레인 위 스키는 시바스 브라더스의 마스터 블렌더인 콜린 스캇 (Colin Scott)이 직접 선택한 것으로 위스키의 깊고 풍부 한 맛을 보증하고 있습니다. GOLD SIGNATURE는 모든 병의 블렌딩에 대한 자신의 자부심을 담은 그의 사인이 들어가 있습니다. 그 덕분에 시바스 리갈 18년의 단 한 방 울에도 느껴지는 85가지의 다양한 향을 통해 한 모금 마 실 때마다 색다른 경험을 느끼실 수 있습니다."
18,Smokehead,스모크 헤드,79000,"['과일향', '유황', '피트향', '나무향']","['과일향', '피트향', '나무향']","['과일향', '유황', '나무향']",싱글몰트,700ml,43%,스코틀랜드,"'스모크 헤드'는 매우 풍부하면서도 달콤한 높은 피트함의 아일라 싱글몰트 스카치 위스키입니다. 엄청난 스모키함 과 바다 소금 및 스파이스 노트가 돋보이는 격렬함으로 도전적인 아웃라이어(Outliers)들을 만족시킬 위스키이 지요. 강력하고 불같은 아로마, 짙은 헤비 우드 스모크, 상 큼한 레몬, 자극적인 생강 등 맹렬한 느낌의 위스키를 찾 으신다면 '스모크 헤드'가 단연 제격입니다."
19,Suntory Kakubin,산토리 가쿠빈,50000,"['나무향', '과일향']","['과일향', '유황']",[],블렌디드,700ml,40%,일본,"산토리 가쿠빈은 '산토리 하이볼' 혹은 '가쿠빈 하이볼'이 라는 이름으로 정말 많은 분들이 이자카야 등에서 한번은 접해보셨을거라 생각합니다. 위스키와 탄산수를 1:4 비율 로 섞어 한번만 저어준 후(탄산이 날아감을 방지하기 위 해 여러번 섞지 않습니다) 마시는 산토리 하이볼은 산토 리 가쿠빈을 즐기는 가장 대중적인 방법이죠. 일본에서도 대중적인 음료로 마시는 산토리 가쿠빈, 이젠 집에서도 즐겨보세요."
20,Ballantine's 40yo,발렌타인 40년,13500000,"['나무향', '유황', '과일향']","['잔류액향', '나무향', '곡물향', '과일향', '유황', '꽃향기']","['잔류액향', '과일향', '나무향']",블렌디드,700ml,43%,스코틀랜드,"여러 세대에 걸쳐 만들어진 진귀하고 값비싼 위스키의 블 렌드이자 40년 이상 숙성을 통해 완성된 놀라운 위스키, '발렌타인 40년'입니다. 이 위스키는 매년 100병 한정으 로 출시되는 한정판 위스키입니다. 각 병에는 손으로 번 호가 매겨져 있으며, 복합적인 맛의 레이어가 돋보입니 다. 위스키 애호가라면 절대 놓칠 수 없는 '발렌타인 40 년'입니다."
21,Bushmills Black Bush,부쉬밀 블랙 부쉬,48900,"['과일향', '나무향']","['나무향', '와인향', '과일향']",['과일향'],블렌디드,700ml,40%,아일랜드,"프루티한 캐릭터를 자랑하는 부쉬밀 블랙 부쉬 위스키에 입문하고 계신다면 '부쉬밀 블랙 부쉬'를 주목해 주세요. '부쉬밀 블랙 부쉬'는 부드럽고 달콤한 맛을 자랑 합니다. 많은 이들에게 데일리 위스키로 사랑받고 있지 요. 어떻게 만들어질까요? '부쉬밀 블랙 부쉬'는 일반적인 블 렌디드 위스키에 비해 많은 양의 몰트를 사용하는 것이 특징인데요. 3번 증류해서 부드러워진 싱글몰트 위스키 와 스몰 배치된 그레인 위스키를 블렌딩하고요. 8년 동안 올로로소 셰리 캐스크와 버번 캐스크에서 차례로 숙성시 키는 과정을 거쳐 태어납니다. 이렇게 유니크한 레시피는 부쉬밀 블랙 부쉬의 풍부하고 프루티한 캐릭터를 만들어냈는데요. 잘 익은 포도와 시트 러스한 감귤 내음, 견과류 향이 코를 맴돌고, 말린 과일과 바닐라, 시나몬의 맛이 입 안을 풍성하게 합니다. 마지막 으로 자두와 오렌지의 여운으로 마무리되지요. 부드럽고 완벽한 밸런스를 갖추고 있기에 니트, 온더락 뿐만 아니 라 칵테일로도 즐기기에도 안성맞춤입니다. 아이리시 위 스키를 즐기는 사람이라면 모두 그 진가를 아는 위스키, '부쉬밀 블랙 부쉬'를 지금 바로 만나보세요."
22,Ballantine's Master's 500ml,발렌타인 마스터즈 500ml,69000,"['잔류액향', '나무향']",['과일향'],['과일향'],블렌디드,500ml,40%,스코틀랜드,"한국인이 가장 사랑하는 스카치 위스키, 그 사랑에 보답 하듯 한국만을 위해 특별히 블렌딩한 특별한 발렌타인입 니다. 마스터 블렌더가 영감을 받아 직접 블렌딩하여 '마 스터즈'라는 이름이 붙었습니다. 45가지의 몰트위스키와 그레인 위스키를 혼합하여 만든 딜럭스급 위스키로, 부드 럽고 달콤한 맛과 오래 지속되는 그윽한 향을 가진 것이 매력입니다. 또한 한국인에 입맛에 맞게 매운 가장 맛있게 마실 있도 록 만들었다고 합니다. 때문에 위스키임에도 해물탕과 같 이 맵거나 국물이 있는 음식과도 잘 어울립니다. 오늘은 식사 후에 발렌타인 마스터즈 한잔 어떨까요?"
23,Ballantine's 21yo,발렌타인 21년(신형),259000,"['과일향', '꽃향기']","['나무향', '유황']","['잔류액향', '과일향']",블렌디드,700ml,40%,영국,"발렌타인은 최상의 원료, 명장의 블렌딩, 에이징을 만들 어내며 고품격 위스키의 대표주자로 자리매김하였습니 다. 특유의 부드러운 목 넘김과 균형 잡힌 깊고 우아한 맛 은 발렌타인의 자랑이며 이와 함께 17년 연속 'CEO가 가 장 선호하는 위스키'에 선정되어 독보적인 품격 역시 인정 받고 있습니다. '발렌타인 21년'은 반짝이는 황금색, 향기로운 꽃 향, 아로 마 풍미 등의 오묘한 특성을 갖고 있습니다. 고급 위스키 의 전형으로 칭송 받는 '발렌타인 21년'은 비단처럼 부드 럽게 혀에 감기는 은은하고도 긴 여운을 지닌 위스키의 대명사입니다."
24,Ballantine's Tyo,발렌타인 7년,39900,"['잔류액향', '과일향', '나무향']","['과일향', '피트향', '나무향']","['과일향', '피트향']",블렌디드,700ml,40%,스코틀랜드,"발렌타인 라인업에 가장 최근 합류한 '발렌타인 7년 버번 피니시'입니다. 원액을 최소 7년 동안 숙성 후 버번 캐스 크에 피니시를 하여 스카치 위스키의 깊이와 고급스러움 을 한층 살리고, 버번의 달콤함으로 마무리 하였습니 다. 기존 발렌타인의 고급스러움을 유지하면서도 버번 캐스크로 인한 토피애플 및 카라멜의 달콤함이 첨가된 것이 특징입니다. 만약 당신이 버번을 알아가려는 스카치 애주 가라면, 혹은 스카치의 세계에 막 입문한 버번 애주가라면 품격있으면서도 자유로운 매력의 발렌타인 7년 버번 피니시를 한 번 맛보세요!"
25,Jameson Standard,제임슨 스탠다드,55000,"['나무향', '와인향']","['과일향', '유황', '곡물향', '나무향']","['잔류액향', '나무향', '유황']",블렌디드,700ml,40%,아일랜드,"제임슨(Jameson)은 아일랜드 사람들이 가장 사랑하는 위스키 중 하나로 손꼽힙니다. 또한 아일랜드인에게 제임 슨은 한국인의 소주와 같은 존재라고도 하죠. '제임슨 스탠다드'는 부드러움과 균형감 있는 맛으로 데일 리로 즐기기 좋습니다. 가볍게 흩날리는 꽃내음과 함께 기분좋을 정도의 알싸함, 그리고 스치듯 지나가는 달콤함 이 매력적입니다. 제임슨 스탠다드는 부드러움, 알싸함, 달콤함 그리고 바닐라 향이 완벽에 가깝게 조화를 이루며 입문자들을 위한 위스키로 많은 이들의 입에 오르내리죠. 한편 진저에일을 섞어 만든 제임슨 하이볼은 제임슨을 즐 기는 좋은 방법 중 하나이자, 현지의 더블리너(Dubliner) 들도 즐겨 마시는 스타일입니다. 달콤하고 쌉싸름한 진저 에일과 탄산이 아이리시 위스키와 만나면 부드러우면서 도 톡 쏘는 상쾌함이 매력적으로 다가옵니다. 얼음을 채 운 잔에 제임슨 위스키와 진저에일을 1:3의 비율로 넣어 섞어준 후, 라임 가니쉬로 마무리하면 누구나 쉽고 맛있 게 제임슨 하이볼을 즐길 수 있습니다."
26,Windsor 12yo 500ml,윈저 12년 500ml,35000,['과일향'],"['과일향', '유황']","['과일향', '유황']",블렌디드,500ml,40%,대한민국,'윈저 12년'은 1996년 2월에 국내에 처음 출시되어 한국 위스키 시장 구도를 스탠다드에서 프리미엄으로 변화시 킨 주역입니다. 프리미엄 위스키의 대표주자 윈저 12 년'은 1996년 출시 이래로 베스트 셀러 자리를 놓치지 않 은 제품입니다.
27,Windsor 17yo,윈저 17년,55000,"['과일향', '나무향']","['과일향', '유황']","['과일향', '유황', '나무향']",싱글몰트,450ml,40%,대한민국,"'윈저 17년'은 지난 2000년 '국산 최초의 수퍼 프리미엄 (SP)급 위스키'라는 수식어를 달고 업계의 관심 속에 탄 생했습니다. '윈저 17년'의 성공의 비결은 바로 다름 아닌 입맛입니다. 스코틀랜드 최고의 마스터 블렌더인 더글라 스 머레이가 직접 블렌딩 함으로써 한국인의 입맛과 세계 인의 입맛을 고루 만족시키는 맛과 향, 세련됨과 중후함 을 조화시킨 패키지로 프리미엄 위스키가 될 수 있었습니 다."
28,Chivas Regal 18yo 500ml,시바스 리갈 18년 500ml,149000,"['과일향', '와인향', '나무향']","['와인향', '피트향', '꽃향기']",['잔류액향'],블렌디드,500ml,40%,스코틀랜드,"'시바스 리갈 18년' 모든 병의 앞 라벨에는 GOLD SIGNATURE라는 표시가 되어있습니다. 독특하고 풍부 한 20여가지의 진귀한 싱글 몰트 스카치 위스키를 조화 롭게 블렌딩한 배합을 의미하죠. 또한, 시바스 리갈 18년 GOLD SIGNATURE에 들어가는 모든 몰트 및 그레인 위 스키는 시바스 브라더스의 마스터 블렌더인 콜린 스캇 (Colin Scott)이 직접 선택한 것으로 위스키의 깊고 풍부 한 맛을 보증하고 있습니다. GOLD SIGNATURE는 모든 병의 블렌딩에 대한 자신의 자부심을 담은 그의 사인이 들어가 있습니다. 그 덕분에 시바스 리갈 18년의 단 한 방 울에도 느껴지는 85가지의 다양한 향을 통해 한 모금 마 실 때마다 색다른 경험을 느끼실 수 있습니다."
29,Ballantine's 30yo,발렌타인 30년,620000,"['과일향', '나무향']","['잔류액향', '나무향', '와인향', '꽃향기']",['잔류액향'],블렌디드,700ml,40%,스코틀랜드,"한국인이 가장 사랑하는 스카치 위스키, 발렌타인은 1827년 스코틀랜드에서 시작되었습니다. 최상의 원료와 발렌타인 마스터 블렌더의 블렌딩, 그리고 수제작한 부르 봉 통에서의 에이징이 약 200년 동안 세계적으로 인정 받는 발렌타인 맛의 비밀입니다. '발렌타인 30년'은 수퍼 프리미엄 스카치 위스키 중 단연 최고의 제품입니다. 한 정된 수량으로 인해 오로지 소수만 즐길 수 있는 최고의 명품 위스키를 데일리샷에서 만나보세요."
30,Label 5,라벨 5,19000,"['과일향', '피트향', '나무향']","['과일향', '피트향', '나무향']",['잔류액향'],블렌디드,700ml,40%,스코틀랜드,"라벨 5는 1969년부터 생산된 스카치 위스키입니다. 전 세계적으로 사랑받아온 스코틀랜드 스페이사이드 지역의 '글렌모레이' 증류소의 원액을 중심으로 만들어지고 있습니다. 전 세계 판매랑 Top 10 이자, 특유의 과일향으로 큰 인기 를 끌고 있으며, 특히 프랑스 사람들이 즐겨 마시는 위스 키라고 합니다. 그 인기 덕에 에어프랑스에서 기내식으로 제공되고 있죠."
31,Ballantine's 12yo,발렌타인 12년,55000,"['잔류액향', '나무향']","['잔류액향', '나무향', '꽃향기']","['잔류액향', '과일향']",블렌디드,700ml,40%,스코틀랜드,"한국인이 가장 사랑하는 스카치 위스키, 발렌타인은 1827년 스코틀랜드에서 시작되었습니다. 최상의 원료와 발렌타인 마스터 블렌더의 블렌딩, 그리고 수제작한 부르 봉통에서의 에이징이 약 200년 동안 세계적으로 인정 받는 발렌타인 맛의 비밀입니다. '발렌타인 12년'은 부담 없이 마시기 좋은 최고의 스카치 위스키입니다. 스카치 위스키 입문을 위해서라면 가격과 품질 면에서 모두 최고 의 위스키라고 자부할 수 있을 것입니다."
32,Johnnie Walker Blue Zodiac Collection(cow),조니워커 블루 조디악 컬렉션(소),400000,"['잔류액향', '과일향', '와인향']","['과일향', '와인향', '피트향', '나무향']","['잔류액향', '피트향']",블렌디드,750ml,40%,스코틀랜드,"조니워커 블루 조디악 컬렉션은 12간지에서 유래한 동물 의 띠를 통해 그 해의 행운을 예측해 온 한국의 전통에서 착안하여 제작된 스페셜 에디션 제품입니다. 그래서 바틀 에 12간지 동물을 새겨 넣은 점이 인상적이지요. 한정판 상품이기에 희소가치가 높으며, 새해 기념 선물은 물론 자신의 띠를 상징하는 특별한 제품을 간직하고자 하 는 위스키 애호가분들께는 최상의 선택이 될 것입니다."
33,The Famous Grouse,더 페이머스 그라우스,34000,"['과일향', '와인향']","['과일향', '나무향']",['유황'],블렌디드,700ml,40%,스코틀랜드,"시작은 'The grouse(더 그라우스)'였습니다. 1897년, 이 위스키가 세상에 나올 당시, 상류계급 사이에는 뇌조 (grouse) 사냥이 크게 유행하고 있었습니다. 창업자 메 슈 글로우그(Matthew Gloag)는 이 상류계급을 겨냥하 기 위해 라벨에 뇌조를 그려넣고, 위스키의 이름을 'The grouse'로 지었는데요. 그 작전은 실로 완벽했습니다. 사 냥을 하던 상류계급에서부터 시작해 그 맛이 입소문을 타 며 점차 유명세를 얻기 시작했던거죠. 마침내, 사람들 사 이에서 '그 유명한 뇌조 위스키'로 불리게 되었고 지금의 'The Famous Grouse(더 페이머스 그라우스)'가 되었"
34,Johnnie Walker Blue,조니워커 블루,339100,"['과일향', '피트향']","['잔류액향', '과일향', '와인향', '피트향']","['잔류액향', '유황', '피트향']",블렌디드,750ml,40%,스코틀랜드,
35,Highland Queen Sherry Cask Finish,하이랜드 퀸 셰리 캐스크 피니시,20300,"['과일향', '와인향', '나무향']","['잔류액향', '과일향', '곡물향']",['피트향'],블렌디드,700ml,40%,스코틀랜드,"'하이랜드 퀸 셰리 캐스크 피니시'는 스코틀랜드에서 생산 된 위스키 원액을 블렌딩한 후 셰리 와인 캐스크에서 피 니싱을 거친 스카치 블렌디드 위스키입니다. 셰리 와인 캐스크에서 자연스럽게 배어든 꿀, 견과류, 바 닐라, 건포도의 복합적이고 다채로운 아로마와 캐러멜스 러운 몰트 풍미가 조화롭게 어우져 고급스럽고 깊은 단맛 을 자아냅니다. 이에 더해 은은한 스파이시 노트와 크리 미한 질감은 부드러우면서도 긴 여운을 남깁니다. 셰리의 달콤함과 부드러운 질감은 위스키 초심자도 편안하게 마 실 수 있는 음용성을 자랑해 입문용 위스키로도 추천할만합니다. 얼음과 함께 온더록으로 즐겨도 좋으며, 진저 에일, 탄산 수, 토닉워터를 넣어 하이볼로 만들어 마시면 셰리의 달 콤함과 청량한 탄산감을 함께 느낄 수 있습니다. '하이랜 드 퀸 셰리 캐스크 피니시'는 데일리 위스키로 즐겨도 좋 을만큼 합리적인 가격과 뛰어난 맛을 자랑합니다."
36,Ballantine's 17yo 750ml,발렌타인 17년(신형) 750ml,130000,['나무향'],"['잔류액향', '나무향']","['잔류액향', '과일향', '나무향']",블렌디드,750ml,40%,스코틀랜드,"한국인이 가장 사랑하는 스카치 위스키, 발렌타인은 1827년 스코틀랜드에서 시작되었습니다. 최상의 원료와 발렌타인 마스터 블렌더의 블렌딩, 그리고 수제작한 부르 봉 통에서의 에이징이 약 200년 동안 세계적으로 인정 받는 발렌타인 맛의 비밀입니다. '발렌타인 17년'은 전 세 계적으로 가장 높이 평가되는 위스키 중 하나입니다. 우 아하고 균형 잡힌 부드러움을 지님으로써 위스키 또한 하 나의 예술 작품일 수  을 증명하는 발렌타인의 마스터 피스입니다."
37,Johnnie Walker Red 1L,조니워커 레드 1L,42000,"['나무향', '피트향']","['과일향', '유황']","['잔류액향', '피트향']",블렌디드,1000ml,40%,스코틀랜드,"'조니워커 레드'는 위스키 입문자들이 부담 없이 접근할 수 있는 블렌디드 위스키입니다. 조니워커에서 가장 대중 적인 라인업 답게, 합리적인 가격에 조니워커 특유의 캐 릭터를 느낄 수 있습니다. 특히 조니워커 레드는 섬 지역 몰트의 피트한 개성이 더 부각되는 게 특징이죠. 또한 균 형 잡힌 맛 덕분에 칵테일을 만드는 데에도 적합한 위스 키입니다. 탄산수나 진저에일, 콜라와 함께 하이볼로 즐 겼을 때 궁합이 좋습니다. 가성비 좋은 가격에 은은한 피 트가 느껴지는 위스키, 조니워커 레드라벨을 데일리샷에 서 만나보세요."
